"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17024177","2017-05-22"," SM-A710L ","갤럭시A7 2016","160000","모름","LG U+ (나노유심) ","미확인 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6263.jpg","N/A"
"17024183","2017-05-22"," LG-F580L ","젠틀","55000","요금할인약정 가능","LG U+ (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6127.jpg","판매가 완료된 상품 입니다."
"17024187","2017-05-22"," SM-A520S ","갤럭시A5 2017","355000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6487.jpg","N/A"
"17024190","2017-05-22"," A1778 128GB ","아이폰7","700000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6425.jpg","N/A"
"17024214","2017-05-22"," SM-N916SL ","갤럭시 노트4S-LTE","120000","요금할인약정 가능","LG U+ (마이크로유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6017.jpg","판매가 완료된 상품 입니다."
"17024217","2017-05-22"," SM-P555L ","갤럭시탭A S Pen","220000","요금할인약정 가능","LG U+","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6080.jpg","N/A"
"17024222","2017-05-22"," SM-G906S ","갤럭시S5 광대역 LTE-A","99000","요금할인약정 가능","SKT (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5826.jpg","N/A"
"17024223","2017-05-22"," TG-L900S ","루나S","200000","요금할인약정 가능","SKT","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6458.jpg","판매가 완료된 상품 입니다."
"17024232","2017-05-22"," TG-L900S ","루나S","200000","요금할인약정 가능","SKT","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6458.jpg","판매가 완료된 상품 입니다."
"17024235","2017-05-22"," A1778 128GB ","아이폰7","630000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6425.jpg","N/A"
"17024236","2017-05-22"," SM-N920S 32GB ","갤럭시노트5","220000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6124.jpg","판매가 완료된 상품 입니다."
"17024248","2017-05-22"," LGM-G600L ","G6 64GB","480000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6523.jpg","판매가 완료된 상품 입니다."
"17024254","2017-05-22"," A1687 16GB ","아이폰6s 플러스","510000","모름","SKT | KT | LG U+ (나노유심) ","미확인 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6183.jpg","N/A"
"17024277","2017-05-22"," LG-F600L ","엘지 V10","160000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6214.jpg","N/A"
"17024278","2017-05-22"," SM-G920S 32GB ","갤럭시 S6","160000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6028.jpg","판매가 완료된 상품 입니다."
"17024279","2017-05-22"," LG-F700L ","엘지G5","240000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6346.jpg","N/A"
"17024281","2017-05-22"," EE-MG950 ","삼성 덱스","93000","요금할인약정 가능","","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6544.jpg","판매가 완료된 상품 입니다."
"17024297","2017-05-22"," SM-G920S 32GB ","갤럭시 S6","212000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6028.jpg","N/A"
"17024301","2017-05-22"," SM-A800S ","갤럭시A8 2015","120000","요금할인약정 가능","SKT (나노유심) ","미확인 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6115.jpg","N/A"
"17024302","2017-05-22"," SM-N920L 32GB ","갤럭시 노트5","230000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6151.jpg","N/A"
"17024305","2017-05-22"," SM-A800S ","갤럭시A8 2015","150000","요금할인약정 불가","SKT (나노유심) ","미확인 ","유심기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6115.jpg","N/A"
"17024313","2017-05-22"," SM-N920S 32GB ","갤럭시노트5","325000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6124.jpg","N/A"
"17024314","2017-05-22"," A1784 128GB ","아이폰7플러스","940000","모름","SKT | KT | LG U+ (나노유심) ","미확인 ","N/A","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17024323","2017-05-22"," SM-G920K 32GB ","갤럭시 S6","160000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6029.jpg","판매가 완료된 상품 입니다."
